Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44	Cycle_45	Cycle_46	Cycle_47	Cycle_48	Cycle_49	Cycle_50	Cycle_51	Cycle_52	Cycle_53	Cycle_54	Cycle_55	Cycle_56	Cycle_57	Cycle_58	Cycle_59	Cycle_60	Cycle_61	Cycle_62	Cycle_63	Cycle_64	Cycle_65	Cycle_66	Cycle_67	Cycle_68	Cycle_69	Cycle_70	Cycle_71	Cycle_72	Cycle_73	Cycle_74	Cycle_75	Cycle_76	Cycle_77	Cycle_78	Cycle_79	Cycle_80	Cycle_81	Cycle_82	Cycle_83	Cycle_84	Cycle_85
Hydrogen	0.00025295731889798213	0.00025088904677359565	0.0002512007981302588	0.00025207720010267983	0.0002515190350973351	0.00025336580947638303	0.0002588399265795217	0.2257272717709371	0.5353339331070931	0.551311836052546	0.5496020569621537	0.5867293130776691	0.5537855831933759	0.5606778148517975	0.5685211767919072	0.5618681509727091	0.574359101382781	0.5709163833697786	0.5679645328512063	0.5632468340059313	0.5748206915954489	0.5759788003365249	0.5770732696398504	0.584903628441133	0.583045686396714	0.587645940841765	0.5981225341494091	0.5972295912254263	0.6076342580430846	0.6089075354824497	0.5966408028692822	0.585363731348499	0.5867633743316077	0.5815722383985983	0.5840762861605082	0.5822976296424305	0.5865400300532285	0.58638256168002	0.5847453185582828	0.5921769804881049	0.5919383743532043	0.588856770663076	0.5852328569708531	0.5945415627280823	0.5910667483531853	0.5933276217508927	0.5932668058364788	0.5982714711684078	0.6013505649746863	0.5967771470983815	0.5951666898498575	0.602184933425804	0.6025875732733923	0.5944086634415441	0.5929841482624555	0.6063311244145005	0.6032034967815968	0.6057347373696869	0.6157425686104788	0.6100929007663841	0.6116925845101339	0.6139031876988614	0.6204761026297753	0.613217427787726	0.6201389610112601	0.6191000582007364	0.618455822373111	0.6278004061899233	0.6204172018418883	0.6258976361464795	0.6300696700572831	0.631781551297009	0.6316422723460232	0.6365817809474106	0.6227275905961285	0.6209584069339649	0.6362787600151241	0.6378483324871914	0.6363735002130172	0.6372505871136627	0.6394820707326344	0.6401145760643161	0.6137958045276077	0.13106342257237436	0.05179677155934947
Deuterium	3.3157130581577874e-06	2.7154196434594684e-06	3.16336211892408e-06	3.0714905987605163e-06	2.539640276526332e-06	2.6844645423141334e-06	2.415105217923736e-06	4.394143689073564e-06	6.059860252144683e-06	6.482641981541207e-06	5.969081563650023e-06	6.862623000093737e-06	7.159440332305087e-06	6.361496641203181e-06	7.679056972163334e-06	7.441583929911977e-06	6.583499124720505e-06	7.161708893156844e-06	7.318134604472181e-06	8.460606778163153e-06	8.422070944571623e-06	9.115635551479036e-06	8.382415249325622e-06	9.509656359694236e-06	8.486274755498124e-06	8.12648684500746e-06	9.374115212843967e-06	8.739796025949813e-06	8.971282112715546e-06	9.373961260515868e-06	1.0274835937781022e-05	9.796544275370283e-06	9.392843776573887e-06	1.05694179061591e-05	9.40542831748617e-06	9.266189359100519e-06	9.939309664111452e-06	9.92845010569835e-06	9.978748842791709e-06	1.0205847396140564e-05	9.522921821252233e-06	9.902735879089436e-06	9.970671843539556e-06	1.0250475292410523e-05	1.0421941704670014e-05	1.005550014278084e-05	1.052379094118659e-05	1.0505723110686626e-05	1.0142650713778094e-05	1.0786689708680401e-05	1.059457180716981e-05	1.0210178803815367e-05	1.045305013423108e-05	1.0000443243492934e-05	1.0252386078643755e-05	1.0307161219173843e-05	1.0199962002205775e-05	1.1442010083530978e-05	1.1469214732198882e-05	1.1036724068866572e-05	1.137467697588635e-05	1.2303732680238062e-05	1.1151547125677706e-05	1.1218850571164838e-05	1.3052549479399423e-05	1.1406192872764247e-05	1.2120939480542202e-05	1.163882694255069e-05	1.194921071222244e-05	1.2878609031941653e-05	1.2033337991375175e-05	1.1970320244924582e-05	1.2588153799462107e-05	1.1660435570765362e-05	1.2502797052263773e-05	1.2279664794103253e-05	1.2621180856230802e-05	1.1892731411063335e-05	1.1692253074465026e-05	1.112944155434053e-05	1.1205774412268822e-05	1.2436701520963283e-05	1.2488952852683754e-05	1.0204678103358606e-05	9.365919795357068e-06
Methane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.89032197668247e-05	0.00028791723478577557	0.00028070620697596467	0.00033386089393276484	0.0003410109159562731	0.0003208845443594192	0.0003011119949608938	0.00034115037459455093	0.00036874764204585496	0.000340776674669409	0.0003513069256876914	0.0003549945327812745	0.00037240985993623467	0.0004034618815398424	0.0003802443857041247	0.0004018526684103107	0.0003792028500943723	0.0003946721510404667	0.00038093929589505234	0.0003885382192980824	0.00041189488073494255	0.00041468355544319545	0.0004064085739275379	0.00037480996148200305	0.00034002712937921217	0.00036425788152505016	0.00035720957681362246	0.0003487743634289348	0.0003539721063152113	0.0003846717286238555	0.0003691549018210317	0.00040963257035949314	0.0003583406629642126	0.00038285143983627593	0.00040026193085510877	0.0004132351871394003	0.00038334149402723203	0.00039413880571424395	0.000544897662813303	0.0004364492000695932	0.00041954842464129544	0.0004160749246686296	0.00044310010480001153	0.0004242808799883094	0.0004819786082724381	0.00041618918358930437	0.0004960829969656489	0.0004680344926113487	0.00047243928574857943	0.0004786855609499156	0.0004610593907838611	0.00048452401369093376	0.000464721944056906	0.00040659968290866495	0.0004897308862596687	0.0005117618812370214	0.0005493701533812392	0.0005335524109702949	0.0004977321320414217	0.0005502877609691276	0.00045522180729183685	0.0004871725438268141	0.0005724540131371863	0.00046168266059087756	0.0005272485696355201	0.0005136614256363906	0.00053585894740195	0.0004605546180744023	0.00045839730057821253	0.0005617925291174875	0.0006216578158514567	0.000590792209138652	0.000506288384474486	0.0005194108650423114	0.0005853427052198544	0.00031090573839962513	0.002791803592186419	0.00312760439465178
Water	0.0025561365384149403	0.002631267116906991	0.0026937865843207334	0.002759431556562226	0.002859649739875294	0.0029977070977680684	0.0031434236687629255	0.007750961417898732	0.00873720837002381	0.008681231034510578	0.008524772078970028	0.008343166596664954	0.007923090749517728	0.0075694522021083795	0.007415010084670851	0.007203716844872809	0.006961989483218403	0.006858426299763454	0.006649330800714179	0.006529374378002552	0.006388794179723581	0.006288886722854494	0.006159837656347219	0.006057061935392165	0.005973537983243999	0.005946011778992384	0.005859735266320414	0.005757199301461805	0.0057174367088262635	0.005664811209543493	0.005495494553026432	0.0054042281714179186	0.005279940519247419	0.005232366285499368	0.005179005311431366	0.005165974228874683	0.005136520427577056	0.005147673086945296	0.005028089977785232	0.005011003821211988	0.004958535334098968	0.00493342748499208	0.00493094747027448	0.004891855482098973	0.004869575234745334	0.004923996796663778	0.004880141668061772	0.004812937786490549	0.004820374466764475	0.004823083378147897	0.004813369876442802	0.004827285858980933	0.004887826420048052	0.004752494466873318	0.004769023161066253	0.004793535248720829	0.004759947650231029	0.004755055586586829	0.004718790258092632	0.004752110219553805	0.004693962541662185	0.004705224073550668	0.004724477620617907	0.0046929208337365596	0.004804034295173949	0.004784917306794436	0.004707067955026715	0.004732152924400782	0.004642025328362712	0.004697208735526583	0.004659891878476455	0.004651185878401531	0.004729248682051794	0.004670925845147406	0.004593979298729169	0.004526517052950529	0.004552852240660757	0.004672276411674456	0.00466983837984554	0.004634341257850903	0.004563685121083801	0.004645285025512191	0.004494034974749141	0.00789713241741915	0.007766915400089829
Acetylene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011177183701344389	0.01115613499158836	0.010712989917379068	0.01186475392976171	0.01222717718508936	0.011317162668791673	0.011951897355553064	0.01241544286203606	0.012536254295048715	0.012867218092181682	0.013071643005869351	0.013414641084165521	0.013816713335212111	0.014534257944360331	0.014725396376692554	0.014813440229180295	0.015114487811946353	0.016086519552096647	0.015984203383099395	0.015904892676068857	0.01668576808153702	0.016994666031911545	0.016758921734326068	0.0167228751754202	0.01644639004257588	0.01650375333865846	0.0167424876742273	0.01680543414533161	0.017088225794701227	0.01696796305990835	0.017039469553096185	0.01715159649202901	0.017540940613526453	0.017706544828306112	0.018071861441004314	0.017844955379026757	0.017555712230379522	0.01780902153026236	0.01743746570885615	0.01835314792342635	0.018572969721333387	0.01869734713387654	0.01875449529947229	0.01900317119326684	0.01868410285382232	0.01896919373559279	0.01884634949462663	0.019199737293396104	0.01909465742233028	0.01913687037250203	0.019428614914353052	0.01970689813464265	0.01968206039818356	0.019462361945220684	0.019617927193405747	0.0187672256627611	0.02025763127693082	0.020096967134446083	0.02016456375346808	0.019917204524485237	0.02038577228063923	0.020206900903633286	0.020164907221580923	0.02063361031712394	0.02038738473769777	0.020768103942465116	0.0205123847330078	0.020644986405482985	0.02035597376774074	0.0217525124864132	0.020874452521767783	0.02092837017808959	0.02081243117977619	0.02087106663130107	0.02076734272556156	0.012004776014267436	0.001207023430171393	0.00024739187735467526
Carbon monoxide	0.015101908098132104	0.014495292513088235	0.013511754364841418	0.012474318422893942	0.011756382144527565	0.01112461458848184	0.01073178508472276	0.05644374545770248	0.06341491615995445	0.06602093707318404	0.06817637122917002	0.06591941559646675	0.06586663226696929	0.06404087829581821	0.06487836947506166	0.06467272165658698	0.06471139048768633	0.06615165620485373	0.0646404808056752	0.0645895965383072	0.06411452370702353	0.06441326279693695	0.06397920615751922	0.06412282964119377	0.06344587092254617	0.0635077929770378	0.0644464108441835	0.06390669579303397	0.06430521615765211	0.06264816174225236	0.06184468962277458	0.061492856890410404	0.06060773430199225	0.06055745701177857	0.06068998717329399	0.06091977253192674	0.06020089604299909	0.0602839994647355	0.05999539360271059	0.05951287011421289	0.059805951323631985	0.05932664094589163	0.05925201664269879	0.05931422367872041	0.0587718901929661	0.05946094904575067	0.05890553778506937	0.058600507697111566	0.05856178037853478	0.0590087176068247	0.05913341581062431	0.05795093406012281	0.05797535933298844	0.057804655173656204	0.057848216401115864	0.05808024784326001	0.05801942865264645	0.05773848007040189	0.057970171177144925	0.058251925131111354	0.057684972964438835	0.057781972694441686	0.056586282177591415	0.05806193655342103	0.057716732318891205	0.05763778888351377	0.05724421458191637	0.05783748154791106	0.05705240729911177	0.057150957250062834	0.05722826907599003	0.057227013338202494	0.0578842736229771	0.05701943044725198	0.05703297457439602	0.0564772086506938	0.05830141483346992	0.05682118936090924	0.05683959277919153	0.056305103818108486	0.056389606855627335	0.05683344678919245	0.03504686810942655	0.01031006850438548	0.008556261569077189
Ethylene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00673331139360112	0.01016065830526045	0.011156689934313556	0.011592677594348684	0.011183160151911632	0.011284716020951316	0.010947569283122965	0.01090073307097904	0.010929099522483715	0.010628566503469737	0.010569922057001779	0.01017543414050095	0.010098172040760193	0.009662024383807588	0.009457917286280596	0.009405266043365125	0.009247125826532742	0.008688760525020501	0.008565456543117966	0.008808857118792222	0.008424091172216784	0.008215298978225313	0.007814853954437906	0.0077702109491077954	0.007894787287071468	0.00749337579374057	0.007424823976946131	0.007247036960053837	0.007218073560479947	0.007136541289750835	0.007139027117540381	0.006753866969247547	0.006754388515294471	0.006497469128092197	0.006383520706777753	0.006374714431499499	0.00634763120156959	0.00615186443294168	0.0064298323343530625	0.005921580786882228	0.005693823606114595	0.005658135268493885	0.005541807492073022	0.005560959520987715	0.005400052436359508	0.005185924929996577	0.005087155183892697	0.00498438664373945	0.005017335583794731	0.004957350351707618	0.004820476527949888	0.004664573176907892	0.004693402988249448	0.004721582806783609	0.004512753284541113	0.004473040889981094	0.0044202540536354305	0.004305665591144222	0.0041821982033225695	0.004175688140710886	0.0041555920643652705	0.004065594079200543	0.0039995595145425125	0.0038987553738393656	0.0038603634636447588	0.003838740662877363	0.0037641961842990617	0.0037389256853086225	0.0036791952478285555	0.0035218021117319914	0.003434439403746383	0.00342722898694546	0.0034001499389843845	0.0033376501656145053	0.003340544770649973	0.0015105793652554652	0.0029896814942119115	0.0027099824586909803
Ethane	0.00040728651802014536	0.00035064518553664357	0.00026947403400723677	0.00018744060475417605	0.00014426737344809296	7.646163694053457e-05	5.492542788829412e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxygen	0.002754077312509829	0.0025830383665836807	0.002410220156402102	0.0022374327936150575	0.002060426725815051	0.001912562291858591	0.0017921661741249549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004827135694156893	0.0003597342924294308	0.00037949027845864233
Argon	1.0108193410558	1.010789518638382	1.0107498952332616	1.0107379701262342	1.010682314185199	1.0107273776471568	1.0107934348019014	1.0111755096662287	1.0106351668801667	1.010976396636069	1.011084647140237	1.0110218624093514	1.0112971981835421	1.0113511085928055	1.0114163471265278	1.0114013119766176	1.011503200770531	1.0113474476779016	1.0114705104335915	1.0115159593888274	1.0113803239303265	1.0115110212960723	1.0114627632361775	1.0115108495217693	1.0115549607113943	1.0117022513436156	1.011587686655336	1.0116705207692236	1.0116113612410647	1.0114680783489831	1.0116244138752637	1.0115480993685382	1.0116676182141957	1.011641460437908	1.0116375024587172	1.0116977554684095	1.0116750222965583	1.0116391134004648	1.0118332477175627	1.0116728954364826	1.011653926143603	1.0116565369410055	1.011860015702088	1.0116201373600318	1.0117938873275876	1.0116535265183506	1.0116507174651543	1.0116821078579141	1.0117404323463086	1.0117751621928235	1.0118284277297689	1.011784670321722	1.0118842266891621	1.0118340986384058	1.0119392592986187	1.0119649101636397	1.0118800918281572	1.011952420524361	1.0119813519383682	1.0120632501637723	1.0119531135041957	1.0119963060000579	1.0120415896390003	1.012139289094302	1.0120680203694616	1.0120685712682382	1.012099323019547	1.012164387586364	1.012137740281009	1.0121599579984901	1.012252659647681	1.0123005474957147	1.0121851461802251	1.0121744700332738	1.0124060012044411	1.0123269353878663	1.01223593628886	1.0123391589264839	1.0123197543179043	1.012361209643714	1.0124453099828556	1.0124524242436743	1.010970175509172	1.0126521863089375	1.0124012663118807
