Molecule	Hydrogen	Deuterium	Methane	Water	Acetylene	Carbon monoxide	Ethylene	Ethane	Oxygen	Argon	Cyclopropene	Allene	Propyne	Propene	Carbon dioxide	Propane	Ethanol	1,3-Butadiyne	1-Buten-3-yne	1,3-Butadiene	1-Butyne	2-Butyne
Cycle_1	0.0001862316060238907	3.946249722772191e-06	0.0	0.0027215998078571075	0.0	0.02023140673584856	0.0	0.0010798893716243221	0.004521335278407105	1.0117774133830761	0.0	0.0	0.0	0.0	0.0	2.793281414067006e-05	0.0	0.0	0.0	0.0	7.386482668574878e-05	0.0
Cycle_2	0.00018741213547960245	3.550216291438179e-06	0.0	0.0026690075564728788	0.0	0.0229708385824902	0.0	0.0012169692724373722	0.004526038385374717	1.0115776094326696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.188215399049172e-05	0.0
Cycle_3	0.0001846059912798404	3.1418901184820036e-06	0.0	0.0026469664481413115	0.0	0.020227869438468427	0.0	0.0009231367032234068	0.003703312770237041	1.011636588334466	0.0	0.0	0.0	0.0	0.0	5.701091247798135e-05	0.0	0.0	0.0	0.0	9.571158480417758e-05	0.0
Cycle_4	0.00018403338235519528	3.3013029817597917e-06	0.0	0.002672045768205412	0.0	0.019535213161433397	0.0	0.0009138626833608316	0.004196431410530103	1.0120972127495806	0.0	0.0	0.0	0.0	0.0	7.854144129692578e-05	0.0	0.0	0.0	0.0	8.137772995394163e-05	0.0
Cycle_5	0.00017978018636560344	2.887893092527288e-06	0.0	0.0026849730655051046	0.0	0.021732695374003592	0.0	0.0010655945817120472	0.003993854623302672	1.0117120627084248	0.0	0.0	0.0	0.0	0.0	2.013784372662644e-05	0.0	0.0	0.0	0.0	7.396326444255875e-05	0.0
Cycle_6	0.00018159366355469182	2.3849908913468093e-06	0.0	0.0027540939905959325	0.0	0.018124871122854144	0.0	0.0007118522090080878	0.0035457251492310446	1.011931733677532	0.0	0.0	0.0	0.0	0.0	0.00012264418590429056	0.0	0.0	0.0	0.0	0.00010972556139656386	0.0
Cycle_7	0.00017688156043350534	3.083987577175516e-06	0.0	0.0027463145440360013	0.0	0.019201710216829895	0.0	0.0008674448825063191	0.0038048762361269166	1.0115003057141665	0.0	0.0	0.0	0.0	0.0	7.150354666313897e-05	0.0	0.0	0.0	0.0	0.00011069344408886683	0.0
Cycle_8	0.00018639718661634145	3.5838954454627146e-06	0.0	0.0031517773591686164	0.005205016490231866	0.034700776868323464	0.0007749716239246817	0.0	0.00020778427557070043	1.0131488797831352	0.0	0.0	0.0	0.0	0.0	0.0005250564601521208	0.0	0.0	1.5538343547615468e-05	0.0	0.00015639126785684256	0.0
Cycle_9	0.30314422720152684	3.872820457217824e-06	0.00026318803572128566	0.008582138894702092	0.005755155426261103	0.04756870811054748	0.004869581383519118	0.0	3.1101927519605255e-05	1.0114093005175355	0.0	0.0	0.0	0.0	0.0	0.00046233487855242375	0.0	0.0	0.0	0.0	0.00028006023873363616	0.0
Cycle_10	0.33810577256475405	4.661072977933147e-06	0.00022278256416307103	0.00860948609945451	0.003316636728711593	0.0570348951965603	0.005165718680707001	0.0	1.2356193553511155e-05	1.0117587550429303	0.0	0.0	0.0	0.0	0.0	0.0004598068309437217	0.0	0.0	0.0	0.0	0.0002584295434789434	0.0
Cycle_11	0.34196176351889873	4.7316651895471144e-06	0.00024980280468857714	0.008581921569624684	0.004118392703835528	0.05565607014422349	0.00554161542647812	0.0	1.4383416786553549e-05	1.0119050449760991	0.0	0.0	0.0	0.0	0.0	0.000468029466063706	0.0	0.0	0.0	0.0	0.0002654088593448319	0.0
Cycle_12	0.3397312655484726	5.102903168730444e-06	0.00022569017739462686	0.008535696794573465	0.003526570820070448	0.05950670444184095	0.005446988060595054	0.0	1.0633408315335984e-05	1.0118255808282082	0.0	0.0	0.0	0.0	0.0	0.00045803108278732525	0.0	0.0	0.0	0.0	0.0002751514181302883	0.0
Cycle_13	0.3416886717609046	5.660248285960365e-06	0.0002627979508668834	0.008557355259693766	0.0033328064412049174	0.0598593548571278	0.005333100458057169	0.0	7.354453639621082e-06	1.0120147297538762	0.0	0.0	0.0	0.0	0.0	0.00046677158400271104	0.0	0.0	0.0	0.0	0.00025983740752806594	0.0
Cycle_14	0.34816062946204623	7.354966799009991e-06	0.00027612439265315775	0.008502338614892854	0.0031419444207578624	0.061937695672687	0.004911937995503165	0.0	0.0	1.012061960956374	0.0	0.0	0.0	0.0	0.0	0.0004617427860594187	0.0	0.0	0.0	0.0	0.0002691292257181429	0.0
Cycle_15	0.34604663878588415	6.005277403308844e-06	0.00025589252043449153	0.008446384354536264	0.003019005116370209	0.06528974827654563	0.00468992885440934	0.0	0.0	1.011950641946202	0.0	0.0	0.0	0.0	0.0	0.00046824119386945287	0.0	0.0	0.0	0.0	0.00027041502145822054	0.0
Cycle_16	0.3495700969678655	6.83936168274312e-06	0.0002617604001055934	0.008472304637167886	0.003243713145828898	0.061087764508505095	0.004875126457330718	0.0	9.59819518259283e-07	1.0120720561655254	0.0	0.0	0.0	0.0	0.0	0.00046454797578258277	0.0	0.0	0.0	0.0	0.00027957972396837176	0.0
Cycle_17	0.3415588716930896	7.303248093812054e-06	0.00029968154703790856	0.00833289078831677	0.0031947712175819697	0.06321539394445913	0.00498764206707158	0.0	0.0	1.012011518437845	0.0	0.0	0.0	0.0	0.0	0.00047099775691722287	0.0	0.0	0.0	0.0	0.0002830636911214581	0.0
Cycle_18	0.3394434114649501	7.6200490484522156e-06	0.00027968479584147707	0.0081936874882104	0.003450178428217539	0.05882165948786103	0.005358325071629461	0.0	1.098224656108241e-05	1.0120478589544033	0.0	0.0	0.0	0.0	0.0	0.0004637657876705233	0.0	0.0	0.0	0.0	0.0002858405645531684	0.0
Cycle_19	0.3382681188008037	7.799060875520946e-06	0.0002975174388694148	0.008112141513942127	0.0035746841138949133	0.05637465055655763	0.00547261533129557	0.0	1.3185195302924552e-05	1.0121445493775212	0.0	0.0	0.0	0.0	0.0	0.0004559053259217578	0.0	0.0	0.0	0.0	0.00029354458797725577	0.0
Cycle_20	0.33659611682554796	7.234071930595973e-06	0.000265184141774517	0.008019649352397365	0.003100838591147697	0.06164705869545379	0.0052602695090433	0.0	4.5417795143804596e-06	1.012105397634317	0.0	0.0	0.0	0.0	0.0	0.0004608568830263595	0.0	0.0	0.0	0.0	0.0002815175685151379	0.0
Cycle_21	0.3127754629833132	7.75938576446072e-06	1.1619452966373054e-05	0.008275043688353495	0.0005859843929062817	0.06495243614322567	0.0033651128149596995	0.0009760038558909523	0.007289883792482227	1.0100262768651547	0.0	0.0	0.0	0.0	0.0	0.0002082858763838205	0.0031488692768528747	0.0	0.0	0.0	0.0004322490754610396	0.0
Cycle_22	0.02820000988656012	2.9269883707236152e-06	0.00025687052295570025	0.005429427179846084	4.914709449749743e-05	0.00946185811521296	0.00033274391082815675	0.0	0.0014581149073154352	1.0120582883082692	0.0	0.0	0.0	0.0	0.0	0.0006542118777605563	0.000503263052827955	0.0	0.0	0.0	0.0002591748441668138	0.0
Cycle_23	0.00268948331496659	2.8786387761388858e-06	7.277813646134486e-05	0.003906369805719656	3.3887620975235394e-05	0.004187394042126269	0.0	0.0	0.0007835160070364645	1.0121014368685382	0.0	0.0	0.0	0.0	0.0	0.0005313331829166572	8.282834592683191e-05	0.0	0.0	0.0	0.0002387431082253167	0.0
Cycle_24	0.0014406355970531584	2.3100576133183717e-06	2.6177121555004655e-05	0.0034340782223284947	1.4612705839539836e-06	0.004635825502844793	0.0	0.0	0.0009309041431306052	1.01202883526796	0.0	0.0	0.0	0.0	0.0	0.0004613659479193901	0.0	0.0	0.0	0.0	0.00023374790754889966	0.0
