Molecule	Hydrogen	Deuterium	Methane	Water	Acetylene	Carbon monoxide	Ethylene	Ethane	Oxygen	Argon	Cyclopropene	Allene	Propyne	Propene	Carbon dioxide	Propane	Ethanol	1,3-Butadiyne	1-Buten-3-yne	1,3-Butadiene	1-Butyne	2-Butyne
Cycle_1	0.0003015556937398913	2.8640778136468046e-06	0.0	0.0034793666396865817	0.0	0.019004085196877803	0.0	0.0009093657704702112	0.003539606166310083	1.0129708210618453	0.0	0.0	0.0	0.0	0.0	0.0002604532803905823	5.1239067138773296e-05	0.0	0.0	0.0	9.648890760109237e-05	0.0
Cycle_2	0.000304642015894554	2.3328579184035885e-06	0.0	0.003687885721708709	0.0	0.020162319437742226	0.0	0.0010300660892591954	0.0037971103862949854	1.0129224586491778	0.0	0.0	0.0	0.0	0.0	0.0002557770240186988	0.00016924335709662537	0.0	0.0	0.0	9.46033855554861e-05	0.0
Cycle_3	0.00030518096239091257	2.6586579151295926e-06	0.0	0.004064489469147311	0.0	0.0184202880202141	0.0	0.0008584208970457891	0.0033228686457242775	1.0128365910914494	0.0	0.0	0.0	0.0	0.0	0.00033807063389027425	0.0004628628924090354	0.0	0.0	0.0	0.00010863340291175768	0.0
Cycle_4	0.00031224694774841915	2.8438674300533934e-06	0.0	0.00431832941143292	0.0	0.018200610970216635	0.0	0.0008175229226916036	0.00325703650588777	1.0127994764758028	0.0	0.0	0.0	0.0	0.0	0.000373127376139406	0.0007430215343194608	0.0	0.0	0.0	0.00011905615957730633	0.0
Cycle_5	0.00033061888719010575	2.230819144917394e-06	5.5963575169693604e-05	0.004647883132558908	0.0	0.015848446950152792	0.0	0.0006327996813931367	0.0028431493356431666	1.012969249891816	0.0	0.0	0.0	0.0	5.630739031057681e-06	0.0004514904526684053	0.001138442744325423	0.0	0.0	0.0	0.00013351655266543647	0.0
Cycle_6	0.00033908452567667837	2.4256863566473707e-06	9.182828439482639e-05	0.004993907956226748	0.0	0.01612385162559776	0.0	0.0007529880444723724	0.0028419218508301224	1.0128338857084433	0.0	0.0	0.0	0.0	3.2352039372854584e-05	0.0004313458300639094	0.00165548552724953	0.0	0.0	0.0	0.00014158533227297986	0.0
Cycle_7	0.0003562438827394795	2.9445010267917755e-06	0.00015308754891719037	0.0053108021777942245	0.0	0.014810350227934425	0.0	0.000631815684175087	0.0025394424111170257	1.0126773817705974	0.0	0.0	0.0	0.0	5.9454762329522584e-05	0.00043791695321563853	0.0024303052942772196	0.0	0.0	0.0	0.00016827839611086484	0.0
Cycle_8	0.00037984938354930454	3.0817170343999463e-06	0.0002880986951952587	0.005927210889873004	0.0	0.013276751718121328	0.0	0.0005420064638040884	0.002181560158164254	1.0130491460410025	0.0	0.0	0.0	0.0	8.71044623830527e-05	0.0004532742939418838	0.0036177718647423993	0.0	0.0	0.0	0.00019940196986993112	0.0
Cycle_9	0.0004016348957739619	3.430469580888549e-06	0.00040743431093703526	0.006269079968982661	0.0	0.012100714299339966	0.0	0.0006142104316119675	0.0019099195759842485	1.0130717035793797	0.0	0.0	0.0	0.0	8.356486428232303e-05	0.000523840389627439	0.003420579417083368	0.0	0.0	0.0	0.00021305890567612296	0.0
Cycle_10	0.0003957730717091065	2.224452990906312e-06	0.00030173871566800095	0.005881705672347358	0.0	0.01220248275635344	0.0	0.00047150833427956197	0.0018398655881202864	1.0131578165728485	0.0	0.0	0.0	0.0	8.088465118699667e-05	0.0005937282224016417	0.0016322954775640718	0.0	0.0	0.0	0.00017741305914930068	0.0
