Molecule	Hydrogen	Deuterium	Methane	Water	Acetylene	Carbon monoxide	Ethylene	Ethane	Oxygen	Argon	Cyclopropene	Allene	Propyne	Propene	Carbon dioxide	Propane	Ethanol	1,3-Butadiyne	1-Buten-3-yne	1,3-Butadiene	1-Butyne	2-Butyne
Cycle_1	0.00033044508647153513	3.2138817935114446e-06	0.0	0.0028433574068014453	0.0	0.010073623623500255	0.0	0.0	0.0015923427598829555	1.0133580767398025	0.0	0.0	0.0	0.0	0.0	0.00035936796534772345	0.0	0.0	0.0	0.0	0.00018597687540092031	0.0
Cycle_2	0.0003293490266626524	3.266986630769818e-06	0.0	0.002891650817216025	0.0	0.009358980540603187	0.0	0.0	0.0014271184330802778	1.013631835568488	0.0	0.0	0.0	0.0	1.2892934692723945e-05	0.0003642868259907534	0.0	0.0	0.0	0.0	0.00019098687837287403	0.0
Cycle_3	0.00032684890029955883	2.7413961182946233e-06	0.0	0.002871758932764361	0.0	0.00849167426395156	0.0	0.0	0.0014288188683857044	1.0133343814657738	0.0	0.0	0.0	0.0	1.006737559369861e-05	0.0003588174303327327	0.0	0.0	0.0	0.0	0.00018938308858699397	0.0
Cycle_4	0.00032790255550893814	2.5108009830672024e-06	0.0	0.0028220108465854834	0.0	0.008718643101071274	0.0	0.0	0.00152350516929535	1.0132961299851018	0.0	0.0	0.0	0.0	1.2996834284018396e-05	0.0003598159592882403	0.0	0.0	0.0	0.0	0.00018491936318242022	0.0
Cycle_5	0.0003249196673086794	2.62876665672387e-06	0.0	0.0028406898270129477	0.0	0.005804788287912701	0.0	0.0	0.0008706883285209573	1.0130206270925748	0.0	0.0	0.0	0.0	8.461548216669838e-05	0.00034779769019695195	0.0	0.0	0.0	0.0	0.00020328865314016127	0.0
Cycle_6	0.029559049181704454	2.771588005036742e-06	0.0007960735998201796	0.0046698011006514	0.009601635752434353	0.024326110015277316	0.0008119070603193645	0.0	1.3047781609988741e-05	1.0138736819284682	0.0	0.0	0.0	0.0	0.0	0.0005596737511812407	0.0	6.153410614560988e-05	0.0	0.0	0.00032944495559950325	0.0
Cycle_7	0.2506405886527084	3.828086966539268e-06	0.000868541253898651	0.0058418981061089705	0.009784346208411197	0.02491219532331374	0.0014948484491856576	0.0	2.694261295900605e-06	1.0136313175910363	0.0	0.0	0.0	0.0	0.0	0.0005658658576751388	0.0	7.053344440373678e-05	0.0	0.0	0.0003467209796888076	0.0
Cycle_8	0.2524840532357572	3.1621039125941546e-06	0.000911748459443009	0.0059658589887150015	0.009725508046092568	0.02512902713614084	0.0018310955566378298	0.0	0.0	1.0138905397848126	0.0	0.0	0.0	0.0	0.0	0.0005643178927894284	0.0	6.344957535172824e-05	0.0	0.0	0.00035394072800843464	0.0
Cycle_9	0.2576867557755587	2.5374390230381045e-06	0.0009441036359857379	0.005982967410229172	0.00978000403425917	0.02475647188013692	0.0019361371266040834	0.0	0.0	1.0139419874087445	0.0	0.0	0.0	0.0	0.0	0.0005801158368530556	0.0	7.036195586314185e-05	0.0	0.0	0.00035240165089764895	0.0
Cycle_10	0.2560683035520931	3.5913367703201543e-06	0.0008739360560965896	0.006027197208753964	0.009626575290864461	0.025585777586076112	0.001995759475174508	0.0	0.0	1.0140604651001286	0.0	0.0	0.0	0.0	0.0	0.0005946790119218898	0.0	7.049736393644553e-05	0.0	0.0	0.00035111105882881994	0.0
Cycle_11	0.25667668060419113	3.946721041526162e-06	0.0008896400116388631	0.006017439761610871	0.00936166380777681	0.025305052437707275	0.0021404126891526715	0.0	0.0	1.0143149856409313	0.0	0.0	0.0	0.0	0.0	0.0005914463684954226	0.0	6.530990125910379e-05	0.0	0.0	0.000354890069914944	0.0
Cycle_12	0.2560221601060712	3.5542035244882652e-06	0.0008214300968640353	0.005986755291528851	0.009489535716234957	0.025614969020341268	0.002136875239645953	0.0	0.0	1.0142116227459337	0.0	0.0	0.0	0.0	0.0	0.0005977273104211183	0.0	7.157048083620471e-05	0.0	0.0	0.00035690698895827046	0.0
Cycle_13	0.2552007519257378	4.2250365160015485e-06	0.0009123323545174725	0.005969342701536046	0.010061751859391978	0.025574740511303838	0.0021569856698612595	0.0	0.0	1.0143459382787736	0.0	0.0	0.0	0.0	0.0	0.0006097667170778514	0.0	7.146133285828725e-05	0.0	0.0	0.00035420238607379405	0.0
Cycle_14	0.25450819805973024	3.500444612509655e-06	0.0009615310616302699	0.0059847839617345406	0.009581466428869468	0.025239018974406092	0.002051294351874696	0.0	0.0	1.014361232314233	0.0	0.0	0.0	0.0	0.0	0.0006151905070990367	0.0	6.388633813557458e-05	0.0	0.0	0.000365523417350464	0.0
