Molecule	Hydrogen	Deuterium	Methane	Water	Acetylene	Carbon monoxide	Ethylene	Ethane	Oxygen	Argon	Cyclopropene	Allene	Propyne	Propene	Carbon dioxide	Propane	Ethanol	1,3-Butadiyne	1-Buten-3-yne	1,3-Butadiene	1-Butyne	2-Butyne
Cycle_1	0.00045979366969993066	3.028736753672704e-06	0.00029266976384318224	0.005848987537990304	0.0	0.015397061416991908	0.0	6.391508850939979e-05	0.0022143371249722043	1.0122876793941975	0.0	0.0	0.0	0.0	0.00017237499071907296	0.000662244699334867	0.002307335858098681	0.0	0.0	0.0	0.0008896022777706287	0.0
Cycle_2	0.00046716140266130546	2.608757617374475e-06	0.0003826954544485871	0.006221369959875631	0.0	0.014723418727030724	0.0	8.293648824473684e-05	0.002129878712101312	1.01202721055621	0.0	0.0	0.0	0.0	0.0001471308853895009	0.0006775054029327117	0.00229034504771239	0.0	0.0	0.0	0.0009153725109092711	0.0
Cycle_3	0.00047528883028687515	3.058073520413293e-06	0.0003362802495572847	0.006040470543983196	0.0	0.014456389651343573	0.0	0.0	0.0021531909087337433	1.0120934524389487	0.0	0.0	0.0	0.0	0.0001498690184864241	0.0006945203860780969	0.0023214112620497706	0.0	0.0	0.0	0.0009093156794418849	0.0
Cycle_4	0.0004895477076949334	2.5059519226549366e-06	0.00042439658252451886	0.006382468042574154	0.0	0.013511085669664873	0.0	0.0	0.002043167260961807	1.0121649445572714	0.0	0.0	0.0	0.0	0.00011933572844018238	0.0007254778475629432	0.0027825122538171734	0.0	0.0	0.0	0.0010087318375320818	0.0
Cycle_5	0.00052239984407715	2.553634328650263e-06	0.0004765127430114961	0.006813413298022281	0.0	0.013624969286709315	0.0	0.0	0.0020600656726720424	1.012251018605305	0.0	0.0	0.0	0.0	0.00010438566479174292	0.0007239415862288613	0.0033357655360433907	0.0	0.0	0.0	0.0011421851226966844	0.0
Cycle_6	0.0005655344007036732	3.0534536955539307e-06	0.0007098309358621841	0.0076056235729941935	0.0	0.01868457797876819	0.0	0.0	0.0004940158967018	1.0140270221238628	0.0	0.0	0.0	0.00019930187385767313	0.0	0.0008621035157185968	0.0041900287411404625	0.0	0.0	0.0	0.001177656760268863	0.0
Cycle_7	0.19999729348204648	6.735117504947188e-06	0.0012461190471430746	0.009510530186038096	0.0077190930717534875	0.027174712259030016	0.0028147385024920872	0.0	0.0004079498347065192	1.0118606673453405	0.0	0.0	0.0	0.0007628151260411376	0.0	0.0007217917491969108	0.00495937404240569	0.0	0.0	0.0	0.0011271787337423138	0.0
Cycle_8	0.20912710675894094	6.212788044078683e-06	0.0013125449959461224	0.010433164451519086	0.006859191827898766	0.02971339772109824	0.0038892350674566674	0.0	0.00034831451094304684	1.0121075902374976	0.0	0.0	0.0	0.0009323536985464961	0.0	0.0007172258277181126	0.0055719216372550695	0.0	0.0	0.0	0.0011750175201713298	0.0
Cycle_9	0.21358984178835172	6.23734245041739e-06	0.001394207097736105	0.010414763969186685	0.0069025624413544635	0.029965745991971156	0.004117875080025322	0.0	0.0003399658791077023	1.0122858823709877	0.0	0.0	0.0	0.0007220149465752942	0.0	0.0008174341429608449	0.00466993244377364	0.0	0.0	0.0	0.0011881769130997776	0.0
Cycle_10	0.21249206675071225	6.176908925905884e-06	0.0010567599917586036	0.008416407837092731	0.007354974453786549	0.029707488210844544	0.003602434887816261	0.0	0.0003585035312792934	1.0124956377972385	0.0	0.0	0.0	0.00021577099520891764	0.0	0.0007941719932749251	0.0024605100491435807	0.0	0.0	0.0	0.0010765989208699014	0.0
