Molecule	Hydrogen	Deuterium	Methane	Water	Acetylene	Carbon monoxide	Ethylene	Ethane	Oxygen	Argon	Cyclopropene	Allene	Propyne	Propene	Carbon dioxide	Propane	Ethanol	1,3-Butadiyne	1-Buten-3-yne	1,3-Butadiene	1-Butyne	2-Butyne
Cycle_1	0.2228947048152462	1.0173912487216686e-05	0.0008829766343890989	0.0041987519711328206	0.010761932335225379	0.03363041139727255	0.00031264637160879986	0.0	0.0018065959154037643	1.0124746441240748	0.0	0.0	0.0	0.0	0.0	0.0006735464551610997	0.0003982632446344172	1.983717128184681e-05	0.0	0.0	0.0004923180922368895	0.0
Cycle_2	0.22104075136420523	9.683684795703347e-06	0.0007154411777264011	0.004114586167168976	0.010212134482777685	0.030580216420845133	0.0004156046703863181	0.0	0.0013999493222339903	1.0126295797088976	0.0	0.0	0.0	0.0	0.0	0.0006531244490014279	0.00022810128700687763	1.4677614415606692e-05	0.0	0.0	0.00048421378993177314	0.0
Cycle_3	0.20939858909677483	9.514099913221865e-06	0.0005895732971901026	0.004065831351879194	0.010879333234721743	0.030450164172154185	0.00048675509408669634	0.0	0.001139619695937285	1.0127880057891907	0.0	0.0	0.0	0.0	0.0	0.0006534930895117778	0.00014246521278576222	2.2785920181578327e-05	0.0	0.0	0.0004909842591741527	0.0
Cycle_4	0.2312096540096682	9.771411618473572e-06	0.0007366919184354145	0.004157661308794491	0.010635959035921709	0.028762312440826165	0.00043648433647552876	0.0	0.0009704776106563672	1.0127184056494625	0.0	0.0	0.0	0.0	0.0	0.0006385151680054215	9.579811670449224e-05	2.739938933343011e-05	0.0	0.0	0.0004959185673861287	0.0
Cycle_5	0.22913289122734817	9.788707989541283e-06	0.0006693857641177822	0.004109776719232614	0.010693813450313706	0.028188558028395164	0.0005158926548656703	0.0	0.0008120791782242644	1.012613382736245	0.0	0.0	0.0	0.0	0.0	0.0006151963626959384	5.8353543659251896e-05	2.3149579825502754e-05	0.0	0.0	0.0005091054490496086	0.0
Cycle_6	0.22585026172636152	9.450611848126025e-06	0.000591120789635707	0.004077751152406645	0.010122716280320574	0.027006774047515045	0.0004852549301868752	0.0	0.0007226266703993761	1.0128204422099845	0.0	0.0	0.0	0.0	0.0	0.000619681901004678	3.3760578980081755e-05	2.544536259556275e-05	0.0	0.0	0.0005086049317326855	0.0
Cycle_7	0.22559409512876247	9.456439810559202e-06	0.0006097698741990203	0.004103580659673345	0.00989599639753725	0.02631990443170401	0.0005449061586109815	0.0	0.0006510758991282805	1.012829168474125	0.0	0.0	0.0	0.0	0.0	0.0006071920535149664	1.174213949416493e-05	2.578539323185598e-05	0.0	0.0	0.0005039285602673037	0.0
Cycle_8	0.2217495167956557	9.269045136478279e-06	0.0005961912047222611	0.004079431269225867	0.010154696929588493	0.025616777581723493	0.00046537803991455334	0.0	0.0005870441250616453	1.0127572501685642	0.0	0.0	0.0	0.0	0.0	0.0005899577024097353	0.0	2.9273284845805874e-05	0.0	0.0	0.0005119604677755275	0.0
Cycle_9	0.21284365440386221	9.101837536725975e-06	0.0006207387828444723	0.00405420565345096	0.009922964335051862	0.025278048114815134	0.00044222601915511916	0.0	0.0005596698943178763	1.0126909552954186	0.0	0.0	0.0	0.0	0.0	0.0005740274047117277	0.0	2.2907613080891995e-05	0.0	0.0	0.000527210758207284	0.0
Cycle_10	0.21765727050671682	9.82197336919571e-06	0.0005957030575939704	0.004022522132616045	0.010590058443204852	0.026216168746900914	0.0005010960998687797	0.0	0.0005331811548124222	1.0127823160173737	0.0	0.0	0.0	0.0	0.0	0.0005705905885836533	0.0	2.0872187057809495e-05	0.0	0.0	0.0005189005428840577	0.0
Cycle_11	0.21968061780619808	9.370507158798708e-06	0.0005737384811097114	0.004045077606297875	0.010120846834291833	0.02492396855353964	0.00043110998044109094	0.0	0.0005120288589245468	1.012748943607925	0.0	0.0	0.0	0.0	0.0	0.0005776719040060536	0.0	2.2866285102082046e-05	0.0	0.0	0.0005172263858420162	0.0
