Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44	Cycle_45	Cycle_46	Cycle_47	Cycle_48	Cycle_49	Cycle_50	Cycle_51	Cycle_52	Cycle_53	Cycle_54	Cycle_55	Cycle_56	Cycle_57	Cycle_58	Cycle_59	Cycle_60	Cycle_61	Cycle_62	Cycle_63	Cycle_64	Cycle_65	Cycle_66	Cycle_67	Cycle_68	Cycle_69	Cycle_70	Cycle_71	Cycle_72	Cycle_73	Cycle_74	Cycle_75	Cycle_76	Cycle_77	Cycle_78	Cycle_79	Cycle_80	Cycle_81	Cycle_82	Cycle_83	Cycle_84	Cycle_85	Cycle_86	Cycle_87	Cycle_88	Cycle_89	Cycle_90	Cycle_91	Cycle_92	Cycle_93	Cycle_94	Cycle_95	Cycle_96	Cycle_97	Cycle_98	Cycle_99	Cycle_100	Cycle_101	Cycle_102	Cycle_103	Cycle_104	Cycle_105	Cycle_106	Cycle_107	Cycle_108	Cycle_109	Cycle_110	Cycle_111	Cycle_112	Cycle_113	Cycle_114	Cycle_115	Cycle_116	Cycle_117	Cycle_118	Cycle_119	Cycle_120	Cycle_121	Cycle_122	Cycle_123	Cycle_124	Cycle_125	Cycle_126	Cycle_127	Cycle_128	Cycle_129	Cycle_130	Cycle_131	Cycle_132	Cycle_133	Cycle_134	Cycle_135	Cycle_136	Cycle_137	Cycle_138	Cycle_139	Cycle_140	Cycle_141	Cycle_142	Cycle_143	Cycle_144	Cycle_145	Cycle_146	Cycle_147	Cycle_148	Cycle_149	Cycle_150	Cycle_151	Cycle_152	Cycle_153	Cycle_154	Cycle_155	Cycle_156	Cycle_157
Propane	9.231499893130829e-05	8.893958953089896e-05	0.00012635579296981736	0.0001251871287940383	0.000382713850525441	0.00038626946396451043	0.0003870094708218442	0.0003804928970227064	0.0003860937200303735	0.0003912043499017603	0.00039271867597430617	0.00038700150856009447	0.0003903221173141244	0.00039290532175914383	0.0003911829321041299	0.00038870855344057384	0.0003879986958424318	0.0003924607535418247	0.0003880814824772978	0.00038954204427150757	0.00040073685829455176	0.0004015482261696965	0.00039989714467881024	0.0003975043973481733	0.00039993599276323547	0.00040249146365327993	0.0004074992615220975	0.00039765123858114676	0.00040856305100794323	0.0004142075770626256	0.000409251569026592	0.00041276390849058345	0.0004178424378831488	0.0004182787304681806	0.0004111067681781506	0.0004212676297816917	0.00043005015534850323	0.0004287419524007535	0.00042912125414257377	0.0004297229987298541	0.0004295815348793056	0.0004309394917960379	0.0004347690804184404	0.0004251395178265413	0.00043310120643416926	0.0004325752990984733	0.0004409127594223124	0.00043582029443104683	0.00043239684940532606	0.0004475300285534372	0.0004413771361466825	0.00043927850708823314	0.00044896329454367957	0.0004486402398158739	0.00044476208478795153	0.00044004037218156887	0.0004406414492880676	0.0004593054117777881	0.0004573216280354126	0.00044885756021898	0.00045364963695233585	0.00045105174605847406	0.00044741006268557806	0.00045323791624985105	0.0004494005372558266	0.0004523068794550387	0.000456150255426286	0.0004620326379189644	0.0004584284623431741	0.00045807019520058306	0.00045205979159898	0.000453447528166616	0.0004608808840311107	0.00046040489600792273	0.00045654145192361586	0.00046610150228710635	0.0004681016584719981	0.0004536891102212075	0.0004617810533573537	0.00046258162034804333	0.00046636853780831274	0.000470384484848314	0.00047322899815934323	0.0004668473413709839	0.0004640919356459849	0.00047044929758338	0.00046205645466064016	0.0004771976221326636	0.00045339299300875216	0.0004668049599905163	0.00046650930405640005	0.0004785934707334632	0.00047757113783110703	0.0004681731928269322	0.00046666012708180513	0.0004786910810786221	0.00047252691610223	0.00047711512973032594	0.00047641901131015627	0.000462986017565496	0.0004670500561581881	0.0004775641842241583	0.00047222524625590597	0.0004672875600519914	0.0004725359848333	0.0004785155657962914	0.0004689409055249356	0.00046815891224050486	0.00046538202739885063	0.00047718984234471556	0.0004722735609120372	0.0004706372816632324	0.0004720686956259349	0.00047851682585519137	0.0004692565033204423	0.00046851457383319115	0.000474547972277945	0.00047335184846366505	0.0004700484776451834	0.0004769585829991007	0.00046420325945323196	0.0004796955231991839	0.0004722412285765586	0.0004832866499008975	0.0004849483628447286	0.00047649421520189867	0.00047906534466944683	0.00046432394931863536	0.00046050532310670084	0.0004779024405751192	0.0004796748050405473	0.00047669473041086016	0.00046307020664759573	0.0004710517335703522	0.00048023882540627915	0.00046287644798355615	0.0004683225539325883	0.00046393199847594244	0.0004705554843214491	0.0004750649836395176	0.00047441713212755893	0.0004819671585415581	0.00047529830834767376	0.00047363368203576873	0.000458108144003356	0.00047761137978508496	0.0004661230046447296	0.0004788116706916194	0.0004632522187260735	0.00046732522119494077	0.00046414518818518354	0.00047005250829319865	0.0014448743888227956	0.0005250249411571771	0.00039165609133915785	0.0003730106929559936	0.00035407584396259575
Ethanol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005970353405147014	6.405885343001541e-05	0.0	0.0	0.0
1,3-Butadiyne	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2705556509941367e-06	6.051528471156555e-06	3.480911816716461e-06	5.079691392782933e-06	1.2110697299045403e-05	1.692992830363553e-05	1.5734635172534597e-05	1.8840297425846893e-05	1.4878908125400205e-05	1.1400320431198383e-05	1.4452341123815205e-05	1.997720138597209e-05	2.2764111168655933e-05	1.979191282279956e-05	2.5960149921244946e-05	1.984061494635072e-05	2.7516237094456175e-05	2.6301844281414713e-05	2.1662868025921347e-05	2.6056009274956965e-05	2.934329223738533e-05	2.626994158204452e-05	3.1851067534038675e-05	2.5906104168002094e-05	2.6902741885406936e-05	2.744163157184476e-05	2.6995164509468573e-05	2.8761333813656697e-05	2.415730791900634e-05	2.5902607348654015e-05	2.9979257134287304e-05	3.348577151205238e-05	3.6983354831300465e-05	2.5719078270394986e-05	2.5591939967425882e-05	3.390951149673402e-05	3.735715684972703e-05	3.337969295013718e-05	2.8595230301083356e-05	3.849059567434522e-05	3.1408083924675696e-05	3.464552858047589e-05	3.483839526193646e-05	2.8927785230680712e-05	3.765730763586697e-05	2.7457104659617884e-05	2.3794694823097146e-05	2.9026071275640707e-05	3.531323169647599e-05	3.299109131436454e-05	3.213822219975733e-05	3.130207938861257e-05	3.943929895132964e-05	3.434844301051219e-05	3.4226174081731405e-05	3.4004594841948784e-05	2.9551504211672013e-05	3.287923455268895e-05	3.3333249361660546e-05	3.294465997427924e-05	3.650039281734755e-05	2.6664005622468495e-05	3.518654670411022e-05	2.7400594446791157e-05	2.8162183037690354e-05	3.834690496940621e-05	2.4414293962258087e-05	3.111218818116855e-05	2.8633148330504243e-05	2.299138876938612e-05	3.7605815427726586e-05	2.8706081082777502e-05	3.349117742292209e-05	3.078580789440043e-05	3.3402171455313105e-05	3.33646086972157e-05	3.297213825165736e-05	2.4468134103070096e-05	2.9250740964920273e-05	2.7658721502017387e-05	2.996035865954802e-05	2.693245253886211e-05	3.3186303550851966e-05	2.8588867700648808e-05	3.5428686549946465e-05	2.5953099206812633e-05	2.7054248197050686e-05	3.5749949561504424e-05	3.130316626680656e-05	2.8242077955034336e-05	3.063341173123804e-05	3.184273346428516e-05	2.971539799833907e-05	3.0593026770552155e-05	3.362507989756017e-05	2.4496493847966217e-05	3.271841402657712e-05	2.873199862507028e-05	3.122027386678457e-05	2.893786294629114e-05	2.7489757634735362e-05	2.8736336016725926e-05	3.4386322726860175e-05	3.266118203002336e-05	2.0463816863888584e-05	2.8117172885656717e-05	3.657913427247308e-05	2.6896723369955415e-05	3.268246802536142e-05	3.6169846229732255e-05	2.5289111771458345e-05	2.789339361277815e-05	2.644364133832984e-05	3.098713422399596e-05	2.747431583147896e-05	2.805410942226971e-05	3.337842259789924e-05	2.827890103412471e-05	3.5269521336584766e-05	2.9674622506179045e-05	2.6201567934535215e-05	3.2097361413428984e-05	3.4300922643057794e-05	3.1146382316710574e-05	3.178182045900073e-05	3.055400639829224e-05	2.2724977011089156e-05	2.9993578835500238e-05	3.081404306816732e-05	3.1079270860076994e-05	0.0	0.0	0.0	0.0	0.0
1-Buten-3-yne	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1,3-Butadiene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1-Butyne	0.0002573848252754965	0.0002542777486242363	0.00027128354925602715	0.00027905599924876983	0.00027764857712325985	0.00047092984608630614	0.0004589713172694699	0.00046616654120060593	0.0004601195063353423	0.00047307441247305726	0.00047256314853672254	0.0004759521073737658	0.0004770799544415408	0.0004834976454131575	0.0004898486630750513	0.0004836473784884687	0.00048670187382159947	0.00048690621988586966	0.0004946326748725723	0.0004981452971227867	0.0005014241834302833	0.000497958762595269	0.00050557500892128	0.0004946995702491013	0.0005102340344381674	0.0004988826659095106	0.0005083867870920608	0.0005065688171305862	0.000502460848474332	0.0005056519657238844	0.000515989303200234	0.0005219953713314012	0.0005168046122353764	0.0005138454382716894	0.00050335838010486	0.0005142882630850765	0.0005004229341125695	0.0005122848401823534	0.0005053770784159093	0.0005111252394611698	0.0005237500207627491	0.0005238891260651418	0.0005188340101378457	0.0005249509610521271	0.0005124381069820256	0.0005272211324625045	0.000522754509548512	0.000532364774087166	0.0005328666912468534	0.0005232609268728159	0.0005333340743173866	0.0005352340364104168	0.0005262898881619212	0.0005246744375574225	0.0005252254445185829	0.0005305983323160662	0.0005325537089001918	0.0005227134734373082	0.0005203535891531889	0.0005288659750169674	0.0005441764507412489	0.0005182644314762442	0.0005403650399369078	0.0005362337729110277	0.000529189481347413	0.0005331744657605395	0.00053594422613883	0.0005391105826551156	0.0005384121126063371	0.0005411645483021568	0.0005327654881840904	0.0005382573954462659	0.0005395169819887087	0.0005368064926379947	0.0005250424898150921	0.0005317196692451972	0.0005383636447816829	0.0005435468483225445	0.0005419858955110398	0.0005434852522830536	0.0005400714622511082	0.0005365944231168687	0.0005423455883528831	0.0005418760826340963	0.0005390216172733549	0.0005400555561838956	0.0005454613388368786	0.0005338853278976915	0.0005576459852804775	0.0005453580410908409	0.000547544136700747	0.0005458699829554517	0.0005319794238970588	0.000543840914447722	0.0005481531269184008	0.0005437958676502938	0.0005474103854575762	0.0005412342931897364	0.0005494447028613625	0.0005564254221424904	0.0005451865352664202	0.0005533528849228472	0.0005364657463908199	0.0005570215420302998	0.0005543569746261785	0.0005548354474593381	0.0005479563647126104	0.0005571172687611153	0.0005552189936466333	0.0005403654480309026	0.0005439536072008053	0.0005569580312104206	0.000548871137055992	0.0005529344084774383	0.0005584461723594461	0.0005507946978425528	0.000553350507293548	0.0005515682965126098	0.00055318842210111	0.0005563241306370161	0.0005464515573663328	0.0005593994631724463	0.0005574488890598896	0.0005421414565187826	0.0005470551890274755	0.0005632578424939245	0.0005626340798941709	0.0005486009807765647	0.0005360583251799434	0.0005571172348257824	0.0005633538609251735	0.0005544676362185131	0.0005525279519710711	0.000558074228208421	0.0005548697654700232	0.0005494498293383018	0.0005540356205442941	0.0005577313093317938	0.0005520943617395241	0.0005546695313012695	0.0005605494850764986	0.0005615983433745903	0.0005642467161618248	0.0005555388786766192	0.000549721574506934	0.0005524584454950421	0.0005426402850285456	0.0005504577599018942	0.0005600476831678871	0.0005648440350807413	0.0005597996589486716	0.0005523732547772605	0.00035482128568775764	0.00037549827645272084	0.0003904535620448503	0.00040341120980512553	0.0004146796298688195
2-Butyne	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
