Molecule	Hydrogen	Deuterium	Methane	Water	Acetylene	Carbon monoxide	Ethylene	Ethane	Oxygen	Argon	Cyclopropene	Allene	Propyne	Propene	Carbon dioxide	Propane	Ethanol	1,3-Butadiyne	1-Buten-3-yne	1,3-Butadiene	1-Butyne	2-Butyne
Cycle_1	0.000265566353887784	3.589628522035979e-06	0.0005089254814671234	0.0026564807831836977	0.0	0.01984853760294661	0.0	0.0005307213736825364	0.002881528227722154	1.009532095898175	0.0	0.0	0.0	0.0	7.534223423947531e-05	9.04999280735996e-05	0.0	0.0	0.0	0.0	0.0003270382183280215	0.0
Cycle_2	0.0002307848051173705	3.0840304157623393e-06	2.8346919392793542e-06	0.0031117713312547013	0.0	0.009563486195464524	0.0	0.0	0.0016751130598435344	1.0109865641222475	0.0	0.0	0.0	0.0	2.791854283168012e-05	0.00028701072503864325	0.0	0.0	0.0	0.0	0.00026825255012932	0.0
Cycle_3	0.00026415883250690756	2.306123168938469e-06	0.0	0.0027673834881144486	0.004636995089395986	0.015965267444916647	5.712820025383413e-05	0.0	0.00020217650085379757	1.0127043574841348	0.0	0.0	0.0	0.0	0.0	0.0004750802037121899	0.0	0.0	0.0	0.0	0.0003146399683912786	0.0
Cycle_4	0.16914986162029755	4.97487496669202e-06	0.000863141934111199	0.005372420582395426	0.008908497723998158	0.017987754864354704	0.0004047373963925547	0.0	8.283275669240125e-05	1.011212057687123	0.0	0.0	0.0	0.0	0.0	0.00048238349265308897	0.0	4.279914399412964e-05	0.0	0.0	0.00039334992812565584	0.0
Cycle_5	0.18134132479712625	4.262461650055147e-06	0.0008720408006179172	0.005712841504866639	0.00885911044270602	0.01869623273092404	0.0005728282162768771	0.0	8.11832941907292e-05	1.0115182865557155	0.0	0.0	0.0	0.0	0.0	0.0005034766279709067	0.0	4.7839521281429345e-05	0.0	0.0	0.00039218959722900045	0.0
Cycle_6	0.18309747812883723	5.180475031372286e-06	0.0008696461279673534	0.005769238459465229	0.008747645902930146	0.018411551105312982	0.0006853590193274864	0.0	8.479694931898949e-05	1.0115992492566324	0.0	0.0	0.0	0.0	0.0	0.0005045469542485168	0.0	4.956429288918016e-05	0.0	0.0	0.0003865267693218745	0.0
Cycle_7	0.1814684250136679	5.341890688839648e-06	0.0008383303603596816	0.005768055957140371	0.008777523027014747	0.018317574545893403	0.000622738107843058	0.0	9.56617733797827e-05	1.0117936942193455	0.0	0.0	0.0	0.0	0.0	0.0005143214808379702	0.0	5.231738915802802e-05	0.0	0.0	0.0003861506928422674	0.0
Cycle_8	0.18113947033011363	5.168918239514809e-06	0.0008404004023782851	0.005804794136923255	0.00890122309322426	0.018159253111127253	0.0005753693568029415	0.0	0.00010463946569065973	1.011746131982279	0.0	0.0	0.0	0.0	0.0	0.0005176933190128863	0.0	5.177336819364426e-05	0.0	0.0	0.000382932060457944	0.0
Cycle_9	0.18074413180038815	5.387505968237992e-06	0.000836571177806536	0.0058324512039425415	0.008982111734771769	0.018552502767700308	0.0005636446701153954	0.0	0.00011097651228234884	1.0118545846983724	0.0	0.0	0.0	0.0	0.0	0.0005230798762256196	0.0	4.909607012165696e-05	0.0	0.0	0.0003879039157617392	0.0
Cycle_10	0.17855003404081882	6.5155684619112395e-06	0.0008471776375626701	0.005803737898473406	0.008973446245202929	0.018347685773419775	0.0006028928713489356	0.0	0.00011678625142241182	1.011788640178657	0.0	0.0	0.0	0.0	0.0	0.0005216411984830753	0.0	5.404638052321239e-05	0.0	0.0	0.0003881414503410163	0.0
Cycle_11	0.1806127381336844	5.371340932751324e-06	0.000848518798062933	0.005755747753298011	0.009094014525173161	0.018185036924766907	0.0004874505191117613	0.0	0.00012652028056315742	1.011862977682501	0.0	0.0	0.0	0.0	0.0	0.000526673657702658	0.0	5.003973173692604e-05	0.0	0.0	0.00038934465177634954	0.0
