Molecule	Hydrogen	Deuterium	Methane	Water	Acetylene	Carbon monoxide	Ethylene	Ethane	Oxygen	Argon	Cyclopropene	Allene	Propyne	Propene	Carbon dioxide	Propane	Ethanol	1,3-Butadiyne	1-Buten-3-yne	1,3-Butadiene	1-Butyne	2-Butyne
Cycle_1	0.0004165654693821644	3.7345963148623517e-06	0.0	0.003479481650337646	0.0	0.01905291833719997	0.0	0.0007712102656968066	0.003819618617953554	1.0107472699105475	0.0	0.0	0.0	0.0	0.0	5.5199750665795736e-05	0.0	0.0	0.0	0.0	0.000243595225384424	0.0
Cycle_2	0.00045780482529094715	3.9945766227697166e-06	0.0	0.0038767124223975913	0.0008794568061605339	0.05892421225026604	0.00016510505665555568	8.693229712450457e-05	4.690124981745156e-05	1.0136501979578705	0.0	0.0	0.0	0.0	0.0	0.0005439820619512427	0.0	0.0	0.0	0.0	0.00022979413222140455	0.0
Cycle_3	0.5922971002485914	6.565628608856742e-06	9.86073882395152e-05	0.010680588264933387	0.00774308585141248	0.08454574020614962	0.013293698700626818	0.0	0.0	1.010831136200257	0.0	0.0	0.0	0.00022615103890743298	0.0	0.00034560938195854637	0.0	6.117739982052973e-05	0.0	0.0	0.000312178189103799	0.0
Cycle_4	0.6454782629117577	6.943920912149087e-06	0.00014221761197758795	0.010472692279734483	0.007089862803901246	0.08792156009923892	0.01490631850951409	9.30901296608747e-06	0.0	1.0110475581183687	0.0	0.0	0.0	0.00022277964494302045	0.0	0.00033929312000876275	0.0	6.0310506677677486e-05	0.0	0.0	0.00030759638098545606	0.0
Cycle_5	0.6570612177112591	7.061609005468497e-06	0.0001722340135387343	0.010217332451051959	0.006950415887301123	0.08896403229718682	0.015533711163678913	6.240460752231658e-06	0.0	1.0111243613358718	0.0	0.0	0.0	0.0002533244824068452	0.0	0.000341039976860732	0.0	7.648597509183694e-05	0.0	0.0	0.00029019272197779893	0.0
Cycle_6	0.651520042170869	7.388194746558822e-06	0.00019068896732410184	0.009935367813162389	0.00779795805671838	0.08599836395883986	0.015177836369605053	0.0	0.0	1.0113156076876377	0.0	0.0	0.0	0.0002428947521160741	0.0	0.00036294630275386885	0.0	8.91307103379196e-05	0.0	0.0	0.00029690375869988173	0.0
Cycle_7	0.6615237035891196	8.762981199290378e-06	0.00019887774363838294	0.00969754904293691	0.0086623676979468	0.08367891241147903	0.014945009649894507	0.0	0.0	1.0110712076576849	0.0	0.0	0.0	0.000242928649149929	0.0	0.00035453841927790525	0.0	9.421548642964437e-05	0.0	0.0	0.00030970414075273716	0.0
Cycle_8	0.6494260949403783	1.0628954742152356e-05	0.00022645211735299406	0.00946705642723924	0.008822585344376958	0.08319804050052716	0.014726346645079104	0.0	0.0	1.0111761402736843	0.0	0.0	0.0	0.00022498234327536086	0.0	0.0003644840264452475	0.0	8.951838347750193e-05	0.0	0.0	0.00032556485675899467	0.0
Cycle_9	0.6588460558931648	1.0761108087997077e-05	0.00020798363256013173	0.009215156525814734	0.00865356822374807	0.08441058183383665	0.014926985458860599	0.0	0.0	1.011217363705799	0.0	0.0	0.0	0.0002519087459862568	0.0	0.0003608218369395619	0.0	9.555731080262267e-05	0.0	0.0	0.0003051012372766294	0.0
Cycle_10	0.6556056071066866	1.1224279916497424e-05	0.0001975801190826122	0.00897186937505468	0.008354993779503229	0.0848403194498976	0.0150627909506471	0.0	0.0	1.01120852609374	0.0	0.0	0.0	0.00023531529504519405	0.0	0.00034896390619419026	0.0	9.506385298309393e-05	0.0	0.0	0.0003210871118432848	0.0
